"HHCode","hid","pid"
"111.03","3","1"
"111.06","6","1"
"111.07","7","2"
"111.12","12","1"
"111.13","13","1"
"111.15","15","1"
"111.21","21","1"
"111.22","22","2"
"112.01","25","1"
"112.05","29","1"
"112.10","34","4"
"112.13","37","1"
"112.15","39","1"
"112.16","40","1"
"121.02","44","1"
"121.04","46","3"
"121.05","47","1"
"121.10","52","1"
"121.12","54","1"
"121.14","56","1"
"121.18","60","2"
"121.21","63","1"
"122.02","68","1"
"122.04","70","1"
"122.08","74","1"
"122.10","76","1"
"122.14","80","2"
"122.17","83","1"
"122.18","84","1"
"122.23","89","1"
"132.05","115","1"
"132.06","116","1"
"132.07","117","2"
"132.08","118","1"
"132.12","122","1"
"133.01","123","1"
"133.04","126","1"
"133.06","128","1"
"143.01","169","1"
"143.02","170","1"
"143.05","173","1"
"143.07","175","1"
"143.13","181","1"
"143.15","183","1"
"143.24","191","1"
"211.01","192","1"
"211.05","196","1"
"211.10","201","1"
"211.13","204","1"
"211.16","207","1"
"211.18","209","1"
"212.01","210","1"
"212.04","213","1"
"212.06","215","1"
"212.11","220","1"
"222.05","246","1"
"222.06","247","1"
"222.08","249","1"
"222.09","250","1"
"222.10","251","1"
"222.13","254","1"
"222.14","255","1"
"222.17","258","1"
"222.19","260","1"
"223.01","266","1"
"223.04","269","1"
"223.05","270","1"
"223.08","273","1"
"223.12","277","1"
"223.14","279","1"
"223.17","282","1"
"241.01","325","1"
"241.02","326","1"
"241.05","329","1"
"241.09","333","1"
"242.01","349","1"
"242.03","351","1"
"242.06","354","1"
"242.07","355","3"
"242.10","358","1"
"251.01","361","1"
"252.03","369","1"
"252.09","375","1"
"252.10","376","1"
"311.01","379","1"
"311.04","382","1"
"311.07","385","1"
"312.01","387","1"
"312.02","388","1"
"312.05","391","1"
"322.04","410","1"
"322.09","415","1"
"322.13","419","1"
"322.17","423","1"
"322.18","424","1"
"331.01","425","1"
"331.02","426","1"
"331.09","433","1"
"331.11","435","1"
"331.12","436","1"
"331.13","437","1"
"331.18","442","1"
"331.19","443","1"
"332.01","449","2"
"332.06","454","1"
"332.07","455","1"
"332.09","457","1"
"332.11","459","1"
"332.12","460","1"
"332.15","463","1"
"341.04","470","1"
"341.08","474","1"
"342.08","481","1"
"342.09","482","1"
"342.10","483","1"
"342.12","485","1"
"342.13","486","1"
"342.15","488","1"
"342.22","495","1"
"342.23","496","1"
"411.05","502","1"
"411.06","503","1"
"411.08","505","1"
"411.10","507","1"
"411.11","508","1"
"412.01","510","1"
"412.02","511","1"
"412.06","515","1"
"421.01","516","1"
"421.04","519","1"
"421.06","521","1"
"421.07","522","1"
"421.12","527","1"
"421.13","528","1"
"421.14","529","1"
"421.22","537","2"
"421.23","538","1"
"422.01","540","1"
"422.03","542","1"
"422.04","543","1"
"422.05","544","1"
"431.02","547","1"
"431.03","548","1"
"431.04","549","1"
"431.05","550","1"
"431.10","555","1"
"432.02","559","1"
"432.08","565","1"
"432.11","568","1"
"432.12","569","1"
"432.14","571","1"
"432.17","574","1"
"432.18","575","1"
"441.01","577","1"
"441.02","578","1"
"441.03","579","1"
"441.05","581","1"
"441.08","584","1"
"441.12","588","1"
"441.14","590","1"
"442.01","597","1"
"442.02","598","1"
"442.03","599","1"
"442.04","600","1"
"511.01","603","1"
"511.07","609","1"
"511.08","610","1"
"511.09","611","1"
"512.01","615","1"
"512.05","619","1"
"512.14","627","2"
"512.16","629","1"
"512.17","630","2"
"521.01","632","1"
"522.03","638","2"
"522.04","639","1"
"522.06","641","1"
"531.01","642","1"
"531.03","644","3"
"531.08","649","1"
"531.09","650","1"
"532.01","654","1"
"532.03","656","1"
"532.05","658","1"
"532.11","664","1"
"532.14","667","1"
"532.17","670","1"
"541.01","672","1"
"541.04","675","1"
"541.05","676","1"
"541.07","678","1"
"541.10","681","1"
"541.16","687","1"
"542.01","690","1"
"542.06","695","1"
"542.09","698","1"
"542.10","699","1"
