,Year,Total production,Estate Oil Production,Smallholder Production,Kernel Production,Estate Kernel Production,Smallholder Kernel Production,Total Area,Estate Area,Smallholder Area
1,2010,"22496,9","14038,15","8458,7","5077,9","3183,1","1894,8",NA,"5161,6","3387,3"
2,2011,23996,"15198,1","8797,9","5205,64","3446,04","1759,6","9102,3","5349,8","3752,5"
3,2012,"26015,52","16817,8","9197,7","5203,1","3363,6","1839,5","10133,32","5995,7","4137,6"
4,2013,27782,"17771,3","10010,73","5556,45","3554,3","2002,15","10465,02","6108,9","4356,1"
5,2014,29278,"19072,8","10205,4","5855,7","3814,6","2041,1","10754,8","6332,4","4422,4"
6,2015,31070,"20542,2","10527,8","6077,2","3971,6","2105,6","11260,3","6724,9","4535,4"
7,2016,31731,"19912,4","11575,6","6297,6","3982,5","2315,1","11201,5","6462,1","4739,3"
8,2017,"34940,3","21749,1","13191,2",6988,"4349,8","2638,2","12383,1","6685,2","5697,9"
9,2018,"42883,5","27586,7","15296,8","8576,7","5517,3","3059,4","14326,1","8507,4","5818,9"
10,2019,45861,"29637,5","16223,5","9172,2","5927,5","3244,7","14724,6","8688,9","6035,7"
